imdb_title_id,imdb_name_id
tt0042895,nm0000058
tt0042895,nm0424565
tt0042895,nm0418741
tt0042994,nm0000017
tt0042994,nm0943837
tt0042994,nm0865262
tt0042994,nm0928697
tt0043067,nm0237985
tt0043067,nm0628579
tt0043067,nm0842981
tt0043067,nm0280406
tt0043137,nm0000071
tt0043137,nm0001859
tt0043137,nm0002053
tt0043137,nm0573640
tt0043147,nm0312890
tt0043147,nm0866835
tt0043147,nm0824389
tt0043147,nm0338719
tt0043274,nm0064607
tt0043274,nm0943956
tt0043274,nm0370821
tt0043274,nm0001359
tt0043379,nm0000060
tt0043379,nm0562920
